Latitude,Longitude,DBSCAN,HDBSCAN,HDBSCAN_KNN,kmeans
1.43794381732232,103.782059433742,-1,0,0,17
1.332373476165,103.722451248339,-1,-1,6,26
1.31720416784835,103.65220866069299,-1,-1,5,23
1.33860405469846,103.706064622772,-1,-1,5,7
1.32587565122356,103.932493035074,2,8,8,8
1.32460664929084,103.67809635977501,-1,-1,5,23
1.28915792866073,103.62639747040701,-1,-1,5,11
1.38977026274295,103.892787161183,26,9,9,14
1.3215687435665702,103.660993360337,-1,-1,5,23
1.32313886050372,103.81067616148701,-1,1,1,29
1.34841976685512,103.93464910315399,1,7,7,5
1.4380878805663602,103.803764959272,-1,0,0,3
1.43986217628881,103.80072677288601,-1,0,0,17
1.3205715655096202,103.843219261065,9,-1,16,10
1.3306880249098705,103.90195304070299,28,-1,13,18
1.3620380473313098,103.885742430777,15,9,9,6
1.37789653537864,103.773153808687,31,2,2,25
1.34833335733135,103.724307317877,17,6,6,26
1.3664536401035,103.96459849952299,-1,-1,7,19
1.3925041099483502,103.904483668323,-1,-1,9,24
1.35406215055211,103.87121373595801,16,9,9,21
1.36163049178178,103.953000933898,1,7,7,5
1.3011637260155,103.79298814720501,-1,10,10,29
1.31511733727464,103.90896591393299,-1,-1,13,2
1.3126447660291698,103.854018095117,6,-1,23,27
1.30765477460778,103.82022755645599,-1,-1,22,4
1.34793619788806,103.715691141274,17,6,6,7
1.39807105476617,103.877933381661,-1,-1,9,14
1.4262109656501398,103.827704108295,24,0,0,15
1.3424126418864295,103.776539385678,18,3,3,20
1.30653721777246,103.83212640041701,6,22,22,4
1.30156308609771,103.83891499840901,6,22,22,4
1.28385698427209,103.85212817335501,6,25,25,13
1.29098168416986,103.85764759167499,-1,-1,25,27
1.30370452023704,103.83320097018299,6,22,22,4
1.28022346789656,103.849001802657,6,25,25,13
1.3010606801941,103.905339493587,7,12,12,2
1.28603255389977,103.84926466025298,6,25,25,13
1.38529556252964,103.76617053205099,-1,2,2,25
1.35367103018388,103.870756821688,16,9,9,21
1.40393859107234,103.81884995793502,-1,-1,0,15
1.36039250544301,103.929694654448,-1,-1,7,5
1.3580323262406298,103.848211390712,-1,-1,11,0
1.30453635973283,103.83071423110901,6,22,22,4
1.3174280076763605,103.843670754851,9,-1,16,10
1.28473716579469,103.802575477864,30,-1,15,9
1.3313111131238202,103.925307784513,2,8,8,8
1.27948670070186,103.785756186651,-1,-1,15,9
1.306078557128,103.831014834847,6,22,22,4
1.30078900889497,103.79762615084199,-1,10,10,29
1.31867038706866,103.945105611031,-1,-1,8,8
1.29270252655149,103.81097183537399,-1,-1,15,9
1.30083413030924,103.84507274316401,6,22,22,27
1.31920342964443,103.886335477819,12,14,14,18
1.35524290262938,103.93162362898701,-1,7,7,5
1.3326965193371398,103.90774299752,-1,-1,13,2
1.35043776611305,103.71811375909999,17,6,6,7
1.40263460056255,103.913270565628,-1,9,9,24
1.29996199408101,103.798227586695,-1,-1,10,29
1.30730468891062,103.83381843863899,6,22,22,4
1.27562588382829,103.847146261772,6,25,25,13
1.30258422337193,103.85811752019,6,23,23,27
1.30847204164942,103.81913563241699,-1,-1,22,4
1.3497165673255802,103.93372188081,1,7,7,5
1.35925940866068,103.75069463109,21,6,6,1
1.37278358482638,103.84644830631001,3,11,11,0
1.36926221738409,103.84716461852301,3,11,11,0
1.37228993636816,103.84722906564,3,11,11,0
1.28060286846942,103.847050419424,6,25,25,13
1.33864901784914,103.84570384495501,13,19,19,22
1.3589190712993402,103.844748631736,-1,-1,11,0
1.30448579105197,103.833941935117,6,22,22,4
1.38401946148579,103.84035593268601,-1,-1,11,0
1.3738085153956,103.85459416060101,3,11,11,0
1.37530562109726,103.839395071769,-1,11,11,0
1.37193646369428,103.84597377685499,3,11,11,0
1.43108468445434,103.773748285787,19,0,0,17
1.38010465081466,103.840408680468,-1,-1,11,0
1.35436493607478,103.96004218909701,-1,7,7,19
1.3392862595739,103.738985189412,4,6,6,26
1.345281447856,103.945344290094,1,7,7,5
1.31592233116033,103.883337947941,12,14,14,18
1.31277604580512,103.882455638462,12,14,14,18
1.36830683201862,103.89598762467199,10,9,9,6
1.38018163022688,103.76041930548,-1,2,2,25
1.35952087347428,103.888340028762,15,9,9,6
1.41562517345069,103.83544650358101,24,0,0,15
